Title,COUNT(Title)
"Data Analyst",138
"Senior Data Analyst",54
"Data Engineer",50
"Business Intelligence Analyst",20
"Analytics Consultant",10
"Insights Analyst",8
"Lead Data Analyst",7
"Business Intelligence Specialist",7
"Salesforce Data and Reporting Analyst",6
"Business/Data Analyst",6
"Marketing Data Analyst",5
"Expressions of Interest - Data Engineer | Data & Analytics",5
"Senior Analytics Consultant",5
"Analyst - Azure Data Engineer - Australian Citizenship Required",5
"Business Data Analyst",5
