city,Country,Data Analyst jobs
 Sydney,Australia,383
 Melbourne,Australia,223
 Brisbane,Australia,71
 Perth,Australia,54
 Canberra,Australia,44
 Adelaide,Australia,27
 Brisbane City,Australia,14
 Belconnen,Australia,6
 Parramatta,Australia,6
 Macquarie Park,Australia,5
 North Sydney,Australia,5
 Gold Coast,Australia,5
 Newcastle,Australia,4
 Surry Hills,Australia,4
 Townsville,Australia,3
 Millers Point,Australia,3
 Darwin,Australia,3
 Mulgrave,Australia,3
 Haymarket,Australia,3
 Docklands,Australia,3
 Lucknow,Australia,3
 Hobart,Australia,3
 Minchinbury,Australia,3
 Chatswood,Australia,3
 Enfield,Australia,2
 Richmond,Australia,2
 Geelong,Australia,2
 Russell,Australia,2
 Malvern East,Australia,2
 Burwood,Australia,2
 Bedford Park,Australia,2
 Sunshine Coast,Australia,2
 Sydney Olympic Park,Australia,2
 Mascot,Australia,2
 Forest Hill,Australia,2
 Newstead,Australia,2
 Fortitude Valley,Australia,2
 St Leonards,Australia,2
 Parkville,Australia,2
 Barangaroo,Australia,2
 Clayton,Australia,2
 Mile End,Australia,1
 Carlton,Australia,1
 Scoresby,Australia,1
 Wood Wood,Australia,1
 Baulkham Hills,Australia,1
 South Geelong,Australia,1
 Penrith,Australia,1
 Ravenhall,Australia,1
 Leederville,Australia,1
 Lidcombe,Australia,1
 West Melbourne,Australia,1
 Gosford,Australia,1
 Bendigo,Australia,1
 Shepparton,Australia,1
 The Risk,Australia,1
 Pacific Pines,Australia,1
 Mount Claremont,Australia,1
 Wollongong,Australia,1
 Derby,Australia,1
 Macquarie,Australia,1
 Woolloomooloo,Australia,1
 Pyrmont,Australia,1
 Sturt,Australia,1
 Booragoon,Australia,1
 Grafton,Australia,1
 Southbank,Australia,1
 Herston,Australia,1
 Northbridge,Australia,1
 Springvale,Australia,1
 Orange,Australia,1
